date,keyword,trend_score
2022/10/23,charles leclerc,1
2022/10/30,charles leclerc,0
2022/11/6,charles leclerc,0
2022/11/13,charles leclerc,1
2022/11/20,charles leclerc,1
2022/11/27,charles leclerc,0
2022/12/4,charles leclerc,1
2022/12/11,charles leclerc,0
2022/12/18,charles leclerc,0
2022/12/25,charles leclerc,0
2023/1/1,charles leclerc,0
2023/1/8,charles leclerc,1
2023/1/15,charles leclerc,0
2023/1/22,charles leclerc,0
2023/1/29,charles leclerc,0
2023/2/5,charles leclerc,0
2023/2/12,charles leclerc,0
2023/2/19,charles leclerc,0
2023/2/26,charles leclerc,1
2023/3/5,charles leclerc,1
2023/3/12,charles leclerc,1
2023/3/19,charles leclerc,1
2023/3/26,charles leclerc,1
2023/4/2,charles leclerc,1
2023/4/9,charles leclerc,1
2023/4/16,charles leclerc,0
2023/4/23,charles leclerc,1
2023/4/30,charles leclerc,1
2023/5/7,charles leclerc,1
2023/5/14,charles leclerc,1
2023/5/21,charles leclerc,1
2023/5/28,charles leclerc,2
2023/6/4,charles leclerc,1
2023/6/11,charles leclerc,1
2023/6/18,charles leclerc,1
2023/6/25,charles leclerc,1
2023/7/2,charles leclerc,1
2023/7/9,charles leclerc,1
2023/7/16,charles leclerc,1
2023/7/23,charles leclerc,1
2023/7/30,charles leclerc,1
2023/8/6,charles leclerc,1
2023/8/13,charles leclerc,0
2023/8/20,charles leclerc,1
2023/8/27,charles leclerc,1
2023/9/3,charles leclerc,1
2023/9/10,charles leclerc,1
2023/9/17,charles leclerc,1
2023/9/24,charles leclerc,1
2023/10/1,charles leclerc,1
2023/10/8,charles leclerc,1
2023/10/15,charles leclerc,1
2023/10/22,charles leclerc,1
2023/10/29,charles leclerc,1
2023/11/5,charles leclerc,1
2023/11/12,charles leclerc,1
2023/11/19,charles leclerc,1
2023/11/26,charles leclerc,1
2023/12/3,charles leclerc,1
2023/12/10,charles leclerc,0
2023/12/17,charles leclerc,1
2023/12/24,charles leclerc,1
2023/12/31,charles leclerc,1
2024/1/7,charles leclerc,0
2024/1/14,charles leclerc,0
2024/1/21,charles leclerc,0
2024/1/28,charles leclerc,1
2024/2/4,charles leclerc,1
2024/2/11,charles leclerc,1
2024/2/18,charles leclerc,1
2024/2/25,charles leclerc,1
2024/3/3,charles leclerc,1
2024/3/10,charles leclerc,1
2024/3/17,charles leclerc,1
2024/3/24,charles leclerc,1
2024/3/31,charles leclerc,1
2024/4/7,charles leclerc,1
2024/4/14,charles leclerc,1
2024/4/21,charles leclerc,1
2024/4/28,charles leclerc,1
2024/5/5,charles leclerc,2
2024/5/12,charles leclerc,1
2024/5/19,charles leclerc,2
2024/5/26,charles leclerc,6
2024/6/2,charles leclerc,1
2024/6/9,charles leclerc,1
2024/6/16,charles leclerc,1
2024/6/23,charles leclerc,1
2024/6/30,charles leclerc,1
2024/7/7,charles leclerc,1
2024/7/14,charles leclerc,1
2024/7/21,charles leclerc,1
2024/7/28,charles leclerc,1
2024/8/4,charles leclerc,0
2024/8/11,charles leclerc,0
2024/8/18,charles leclerc,0
2024/8/25,charles leclerc,1
2024/9/1,charles leclerc,2
2024/9/8,charles leclerc,1
2024/9/15,charles leclerc,1
2024/9/22,charles leclerc,1
2024/9/29,charles leclerc,0
2024/10/6,charles leclerc,0
2024/10/13,charles leclerc,1
2024/10/20,charles leclerc,1
2024/10/27,charles leclerc,1
2024/11/3,charles leclerc,1
2024/11/10,charles leclerc,1
2024/11/17,charles leclerc,1
2024/11/24,charles leclerc,1
2024/12/1,charles leclerc,1
2024/12/8,charles leclerc,1
2024/12/15,charles leclerc,1
2024/12/22,charles leclerc,1
2024/12/29,charles leclerc,1
2025/1/5,charles leclerc,0
2025/1/12,charles leclerc,0
2025/1/19,charles leclerc,1
2025/1/26,charles leclerc,0
2025/2/2,charles leclerc,0
2025/2/9,charles leclerc,0
2025/2/16,charles leclerc,1
2025/2/23,charles leclerc,0
2025/3/2,charles leclerc,1
2025/3/9,charles leclerc,1
2025/3/16,charles leclerc,1
2025/3/23,charles leclerc,1
2025/3/30,charles leclerc,1
2025/4/6,charles leclerc,1
2025/4/13,charles leclerc,1
2025/4/20,charles leclerc,1
2025/4/27,charles leclerc,1
2025/5/4,charles leclerc,1
2025/5/11,charles leclerc,1
2025/5/18,charles leclerc,1
2025/5/25,charles leclerc,1
2025/6/1,charles leclerc,1
2025/6/8,charles leclerc,1
2025/6/15,charles leclerc,1
2025/6/22,charles leclerc,1
2025/6/29,charles leclerc,1
2025/7/6,charles leclerc,1
2025/7/13,charles leclerc,1
2025/7/20,charles leclerc,1
2025/7/27,charles leclerc,1
2020/7/26,F1 Grand Prix,0
2020/8/2,F1 Grand Prix,1
2020/8/9,F1 Grand Prix,1
2020/8/16,F1 Grand Prix,0
2020/8/23,F1 Grand Prix,0
2020/8/30,F1 Grand Prix,0
2020/9/6,F1 Grand Prix,1
2020/9/13,F1 Grand Prix,0
2020/9/20,F1 Grand Prix,0
2020/9/27,F1 Grand Prix,0
2020/10/4,F1 Grand Prix,0
2020/10/11,F1 Grand Prix,0
2020/10/18,F1 Grand Prix,0
2020/10/25,F1 Grand Prix,0
2020/11/1,F1 Grand Prix,0
2020/11/8,F1 Grand Prix,0
2020/11/15,F1 Grand Prix,0
2020/11/22,F1 Grand Prix,0
2020/11/29,F1 Grand Prix,1
2020/12/6,F1 Grand Prix,1
2020/12/13,F1 Grand Prix,0
2020/12/20,F1 Grand Prix,0
2020/12/27,F1 Grand Prix,0
2021/1/3,F1 Grand Prix,0
2021/1/10,F1 Grand Prix,0
2021/1/17,F1 Grand Prix,0
2021/1/24,F1 Grand Prix,0
2021/1/31,F1 Grand Prix,0
2021/2/7,F1 Grand Prix,0
2021/2/14,F1 Grand Prix,0
2021/2/21,F1 Grand Prix,0
2021/2/28,F1 Grand Prix,0
2021/3/7,F1 Grand Prix,0
2021/3/14,F1 Grand Prix,0
2021/3/21,F1 Grand Prix,1
2021/3/28,F1 Grand Prix,1
2021/4/4,F1 Grand Prix,0
2021/4/11,F1 Grand Prix,0
2021/4/18,F1 Grand Prix,1
2021/4/25,F1 Grand Prix,0
2021/5/2,F1 Grand Prix,1
